country,year,urban_pct
Saudi Arabia,2020,83.8064352851942
Saudi Arabia,2021,83.9716349986538
Saudi Arabia,2022,84.1349430023993
Saudi Arabia,2023,84.2962388315415
Saudi Arabia,2024,84.4554020211443
Saudi Arabia,2025,84.4554020211443
Saudi Arabia,2026,84.4554020211443
Singapore,2020,100.0
Singapore,2021,100.0
Singapore,2022,100.0
Singapore,2023,100.0
Singapore,2024,100.0
Singapore,2025,100.0
Singapore,2026,100.0
South Africa,2020,63.4373088310982
South Africa,2021,63.4503925883909
South Africa,2022,63.4766699210327
South Africa,2023,63.5823705163545
South Africa,2024,63.6917984858172
South Africa,2025,63.6917984858172
South Africa,2026,63.6917984858172
Spain,2020,79.6955674617799
Spain,2021,79.7846242983598
Spain,2022,79.9548794567814
Spain,2023,80.128491001856
Spain,2024,80.315199821207
Spain,2025,80.315199821207
Spain,2026,80.315199821207
Sri Lanka,2020,19.6621898312161
Sri Lanka,2021,19.8266275195269
Sri Lanka,2022,19.9877933196367
Sri Lanka,2023,20.1455348442463
Sri Lanka,2024,20.2996997058686
Sri Lanka,2025,20.2996997058686
Sri Lanka,2026,20.2996997058686
Sudan,2020,34.5594433789246
Sudan,2021,34.6421563427994
Sudan,2022,34.7209852053086
Sudan,2023,34.7960076976764
Sudan,2024,34.8673015510839
Sudan,2025,34.8673015510839
Sudan,2026,34.8673015510839
Switzerland,2020,82.3416838515457
Switzerland,2021,84.2006477608879
Switzerland,2022,84.9206266284521
Switzerland,2023,85.1854212679815
Switzerland,2024,85.4615370020764
Switzerland,2025,85.4615370020764
Switzerland,2026,85.4615370020764
Syria,2020,73.4125031102512
Syria,2021,73.0125007629395
Syria,2022,72.6124992370605
Syria,2023,72.1673803143204
Syria,2024,72.0761345758254
Syria,2025,72.0761345758254
Syria,2026,72.0761345758254
Tanzania,2020,33.8547246036273
Tanzania,2021,34.3500111758619
Tanzania,2022,34.8234736377147
Tanzania,2023,35.4748019434954
Tanzania,2024,36.1684458862992
Tanzania,2025,36.1684458862992
Tanzania,2026,36.1684458862992
Trinidad and Tobago,2020,53.9377689584806
Trinidad and Tobago,2021,53.9421278853848
Trinidad and Tobago,2022,53.9474037904998
Trinidad and Tobago,2023,53.9536842104572
Trinidad and Tobago,2024,53.961056681951
Trinidad and Tobago,2025,53.961056681951
Trinidad and Tobago,2026,53.961056681951
Tunisia,2020,69.1043166438476
Tunisia,2021,69.3997523770568
Tunisia,2022,69.707138648303
Tunisia,2023,70.0266686486584
Tunisia,2024,70.3585355691955
Tunisia,2025,70.3585355691955
Tunisia,2026,70.3585355691955
Uganda,2020,28.5399752271502
Uganda,2021,29.2362957789022
Uganda,2022,29.9251969709665
Uganda,2023,30.6059359395495
Uganda,2024,31.2777698213557
Uganda,2025,31.2777698213557
Uganda,2026,31.2777698213557
Ukraine,2020,69.3839100516745
Ukraine,2021,69.4027032653896
Ukraine,2022,69.42345912103
Ukraine,2023,69.4754455027606
Ukraine,2024,69.5315643200148
Ukraine,2025,69.5315643200148
