country,year,age_group,pop_male,pop_female,pop_total
Australia,2023,25-34,1915.402,1889.643,3805.046
Australia,2023,35-44,1839.798,1870.296,3710.098
Australia,2023,45-54,1635.557,1679.328,3314.885
Australia,2023,55-64,1490.261,1565.016,3055.279
Australia,2023,65-74,1203.642,1302.93,2506.571
Australia,2023,75-84,719.213,804.314,1523.525
Australia,2023,85+,222.999,345.174,568.171
Australia,2024,18-24,1154.65,1091.646,2246.296
Australia,2024,25-34,1914.406,1875.645,3790.055
Australia,2024,35-44,1875.943,1905.857,3781.802
Australia,2024,45-54,1641.724,1685.659,3327.387
Australia,2024,55-64,1501.159,1574.703,3075.862
Australia,2024,65-74,1223.0,1329.199,2552.198
Australia,2024,75-84,754.017,843.817,1597.835
Australia,2024,85+,232.241,353.979,586.218
Australia,2025,18-24,1173.528,1112.355,2285.883
Australia,2025,25-34,1904.346,1853.25,3757.594
Australia,2025,35-44,1904.678,1935.255,3839.935
Australia,2025,45-54,1647.032,1690.476,3337.51
Australia,2025,55-64,1516.909,1588.408,3105.313
Australia,2025,65-74,1245.346,1357.42,2602.769
Australia,2025,75-84,787.382,883.097,1670.479
Australia,2025,85+,243.368,363.792,607.165
Australia,2026,18-24,1197.847,1137.953,2335.798
Australia,2026,25-34,1891.001,1828.373,3719.375
Australia,2026,35-44,1926.061,1958.213,3884.274
Australia,2026,45-54,1653.627,1695.207,3348.836
Australia,2026,55-64,1534.552,1605.001,3139.553
Australia,2026,65-74,1270.035,1386.594,2656.627
Australia,2026,75-84,819.041,921.868,1740.906
Australia,2026,85+,255.512,374.665,630.175
Austria,2020,18-24,354.786,334.625,689.411
Austria,2020,25-34,617.682,592.289,1209.97
Austria,2020,35-44,593.731,585.95,1179.68
Austria,2020,45-54,658.253,662.036,1320.287
Austria,2020,55-64,627.189,641.073,1268.263
Austria,2020,65-74,400.604,456.799,857.402
Austria,2020,75-84,267.225,355.928,623.151
Austria,2020,85+,76.039,153.622,229.661
Austria,2021,18-24,347.959,328.566,676.525
Austria,2021,25-34,619.831,594.039,1213.869
Austria,2021,35-44,601.305,591.555,1192.861
Austria,2021,45-54,643.324,648.471,1291.794
Austria,2021,55-64,643.5,655.066,1298.566
Austria,2021,65-74,413.997,471.394,885.39
Austria,2021,75-84,267.397,356.723,624.116
Austria,2021,85+,79.004,156.738,235.739
Austria,2022,18-24,342.721,323.798,666.517
Austria,2022,25-34,623.016,596.44,1219.457
